"order_id","order_status","distance_to_customer","distance_rider_from_store","delivery_service_level","rider_arrived_at_pickup_time","order_ready_for_pickup_time","order_pickup_done_time","order_delivered_time"
2279072,20,3.19,1.9,3,2024-12-14 10:44:04.976 +0800,2024-12-14 09:24:09.131 +0800,2024-12-14 10:44:06.382 +0800,2024-12-14 11:09:41.527 +0800
2279073,20,8.02,4.01,2,2024-12-14 08:12:46.305 +0800,2024-12-14 08:06:14.229 +0800,2024-12-14 08:12:47.142 +0800,2024-12-14 08:28:24.042 +0800
2279074,20,2.7,1.46,2,2024-12-14 08:17:26.708 +0800,2024-12-14 08:00:10.311 +0800,2024-12-14 08:56:29.619 +0800,2024-12-14 09:16:06.631 +0800
2279075,20,3.56,2.68,2,2024-12-14 08:52:31.840 +0800,2024-12-14 08:39:39.863 +0800,2024-12-14 08:58:43.080 +0800,2024-12-14 09:14:13.272 +0800
2279076,20,2.4,1.94,2,2024-12-14 09:30:47.703 +0800,2024-12-14 08:15:12.650 +0800,2024-12-14 09:30:48.777 +0800,2024-12-14 09:46:39.384 +0800
2279077,20,4.97,2.44,3,2024-12-14 12:09:39.437 +0800,2024-12-14 11:28:23.320 +0800,2024-12-14 12:09:42.773 +0800,2024-12-14 12:44:01.103 +0800
2279078,20,6.56,3.72,2,2024-12-14 09:56:39.954 +0800,2024-12-14 09:03:46.031 +0800,2024-12-14 09:56:41.035 +0800,2024-12-14 10:44:21.789 +0800
2279079,20,1.35,1.04,2,2024-12-14 09:19:54.051 +0800,2024-12-14 09:03:34.467 +0800,2024-12-14 09:23:35.394 +0800,2024-12-14 09:30:50.372 +0800
2279080,20,2.86,1.13,3,2024-12-14 11:08:23.928 +0800,2024-12-14 10:41:09.226 +0800,2024-12-14 11:08:28.897 +0800,2024-12-14 11:24:24.913 +0800
2279081,20,9.44,6.09,2,2024-12-14 10:06:20.921 +0800,2024-12-14 09:13:26.982 +0800,2024-12-14 10:06:22.005 +0800,2024-12-14 10:32:02.163 +0800
2279082,20,2.28,2.06,2,2024-12-14 09:35:25.732 +0800,2024-12-14 09:05:11.694 +0800,2024-12-14 09:35:29.265 +0800,2024-12-14 09:48:59.063 +0800
2279083,20,2.35,1.33,2,2024-12-14 09:54:34.158 +0800,2024-12-14 09:38:53.536 +0800,2024-12-14 09:54:35.095 +0800,2024-12-14 10:09:05.139 +0800
2279084,20,2.79,1.77,1,2024-12-14 12:30:37.872 +0800,2024-12-14 11:43:51.558 +0800,2024-12-14 12:35:19.365 +0800,2024-12-14 12:41:22.522 +0800
2279086,20,5.29,3.77,2,2024-12-14 10:10:16.995 +0800,2024-12-14 09:13:54.028 +0800,2024-12-14 10:10:21.568 +0800,2024-12-14 10:52:39.511 +0800
2279087,20,3.13,2.25,3,2024-12-14 12:12:47.045 +0800,2024-12-14 12:07:25.573 +0800,2024-12-14 12:12:48.476 +0800,2024-12-14 12:23:46.461 +0800
2279088,20,8.23,6.18,2,2024-12-14 11:15:16.976 +0800,2024-12-14 11:04:04.641 +0800,2024-12-14 11:15:18.391 +0800,2024-12-14 11:59:16.647 +0800
2279089,20,5.74,3.81,1,2024-12-14 10:32:46.441 +0800,2024-12-14 10:29:13.452 +0800,2024-12-14 10:32:48.958 +0800,2024-12-14 11:13:48.036 +0800
2279090,20,9.61,6.34,2,2024-12-14 09:58:39.838 +0800,2024-12-14 09:03:57.201 +0800,2024-12-14 09:58:41.307 +0800,2024-12-14 10:33:23.744 +0800
2279091,20,5.7,4.92,3,2024-12-14 11:33:34.755 +0800,2024-12-14 11:16:33.734 +0800,2024-12-14 11:33:37.353 +0800,2024-12-14 11:40:03.873 +0800
2279092,20,2.31,1.12,3,2024-12-14 10:50:21.282 +0800,2024-12-14 09:25:46.668 +0800,2024-12-14 10:50:22.456 +0800,2024-12-14 11:36:11.933 +0800
2279093,20,9.45,6.22,2,2024-12-14 10:50:05.444 +0800,2024-12-14 11:12:56.775 +0800,2024-12-14 11:39:22.511 +0800,2024-12-14 12:05:43.142 +0800
2279094,20,1.99,1.37,1,2024-12-14 09:49:06.443 +0800,2024-12-14 09:37:53.056 +0800,2024-12-14 09:49:07.549 +0800,2024-12-14 10:11:05.026 +0800
2279095,20,2.51,1.36,3,2024-12-14 12:32:40.523 +0800,2024-12-14 11:48:02.287 +0800,2024-12-14 12:32:42.073 +0800,2024-12-14 12:49:18.564 +0800
2279096,20,3.92,1.9,2,2024-12-14 09:59:22.156 +0800,2024-12-14 09:25:28.434 +0800,2024-12-14 09:59:24.439 +0800,2024-12-14 10:22:33.578 +0800
2279097,20,4.62,3.13,2,2024-12-14 10:37:27.208 +0800,2024-12-14 10:11:22.346 +0800,2024-12-14 10:37:28.193 +0800,2024-12-14 10:51:47.201 +0800
2279098,20,2.55,1.83,3,2024-12-14 11:03:57.107 +0800,2024-12-14 09:34:18.905 +0800,2024-12-14 11:03:58.007 +0800,2024-12-14 11:10:28.953 +0800
2279099,20,1.75,0.67,2,2024-12-14 12:34:40.896 +0800,2024-12-14 11:59:23.202 +0800,2024-12-14 12:34:41.876 +0800,2024-12-14 13:04:49.535 +0800
2279100,20,3.78,2.01,2,2024-12-14 10:43:15.471 +0800,2024-12-14 10:05:33.499 +0800,2024-12-14 11:09:13.738 +0800,2024-12-14 11:22:02.988 +0800
2279101,20,5.61,4.08,3,2024-12-14 11:03:41.756 +0800,2024-12-14 09:30:03.216 +0800,2024-12-14 11:03:42.516 +0800,2024-12-14 11:28:45.208 +0800
2279103,20,5.94,3.85,2,2024-12-14 09:44:19.669 +0800,2024-12-14 09:34:33.629 +0800,2024-12-14 09:44:20.676 +0800,2024-12-14 09:59:09.119 +0800
2279104,20,3.0,2.37,3,2024-12-14 12:02:50.353 +0800,2024-12-14 11:13:37.398 +0800,2024-12-14 12:02:52.135 +0800,2024-12-14 12:22:41.749 +0800
2279106,20,3.78,1.61,3,2024-12-14 12:43:12.599 +0800,2024-12-14 11:04:13.415 +0800,2024-12-14 12:43:13.940 +0800,2024-12-14 13:05:45.523 +0800
2279107,20,10.86,7.5,2,2024-12-14 09:24:14.820 +0800,2024-12-14 09:17:06.394 +0800,2024-12-14 09:24:15.900 +0800,2024-12-14 10:05:31.764 +0800
2279108,20,8.29,5.91,2,2024-12-14 10:16:20.951 +0800,2024-12-14 09:29:43.122 +0800,2024-12-14 10:32:02.399 +0800,2024-12-14 10:49:50.296 +0800
2279110,20,5.67,3.4,3,2024-12-14 11:30:02.390 +0800,2024-12-14 10:21:43.605 +0800,2024-12-14 11:30:04.528 +0800,2024-12-14 12:12:43.244 +0800
2279112,20,10.23,2.8,2,2024-12-14 10:06:15.138 +0800,2024-12-14 09:03:13.474 +0800,2024-12-14 10:06:16.579 +0800,2024-12-14 10:35:52.688 +0800
2279113,20,5.68,5.14,2,2024-12-14 09:41:54.477 +0800,2024-12-14 09:24:39.499 +0800,2024-12-14 09:41:55.558 +0800,2024-12-14 09:59:21.366 +0800
2279114,20,7.57,3.85,3,2024-12-14 12:10:33.274 +0800,2024-12-14 12:05:31.539 +0800,2024-12-14 12:10:36.029 +0800,2024-12-14 12:29:53.396 +0800
2279115,20,11.57,7.7,1,2024-12-14 10:45:32.816 +0800,2024-12-14 10:19:34.611 +0800,2024-12-14 10:45:34.002 +0800,2024-12-14 11:44:42.065 +0800
2279116,20,7.89,3.79,3,2024-12-14 10:37:10.722 +0800,2024-12-14 09:54:41.990 +0800,2024-12-14 10:37:11.515 +0800,2024-12-14 11:28:05.006 +0800
2279118,20,1.69,0.65,2,2024-12-14 10:16:41.196 +0800,2024-12-14 10:13:34.665 +0800,2024-12-14 10:16:42.517 +0800,2024-12-14 10:18:49.872 +0800
2279119,20,3.94,1.3,3,2024-12-14 12:59:12.141 +0800,2024-12-14 12:00:51.232 +0800,2024-12-14 12:59:13.856 +0800,2024-12-14 13:13:44.811 +0800
2279120,20,4.57,3.13,3,2024-12-14 11:09:57.971 +0800,2024-12-14 09:17:28.079 +0800,2024-12-14 11:18:35.268 +0800,2024-12-14 11:35:32.124 +0800
2279122,20,4.89,2.93,3,,2024-12-14 10:23:30.771 +0800,2024-12-14 11:29:56.239 +0800,2024-12-14 11:59:29.546 +0800
2279123,20,2.18,1.1,3,2024-12-14 12:10:49.863 +0800,2024-12-14 10:41:08.812 +0800,2024-12-14 12:24:17.770 +0800,2024-12-14 12:31:51.769 +0800
2279124,20,7.13,4.38,2,2024-12-14 11:21:26.609 +0800,2024-12-14 10:39:29.140 +0800,2024-12-14 11:21:27.630 +0800,2024-12-14 11:40:16.002 +0800
2279125,20,5.62,5.62,2,2024-12-14 09:56:02.120 +0800,2024-12-14 09:25:43.739 +0800,2024-12-14 09:56:03.630 +0800,2024-12-14 10:15:18.923 +0800
2279126,20,7.02,4.59,2,2024-12-14 11:56:47.692 +0800,2024-12-14 11:56:35.518 +0800,2024-12-14 11:56:48.905 +0800,2024-12-14 12:19:55.232 +0800
2279127,20,10.22,6.2,2,2024-12-14 11:01:56.326 +0800,2024-12-14 09:57:09.823 +0800,2024-12-14 11:01:57.633 +0800,2024-12-14 11:34:05.518 +0800
2279128,20,5.37,2.55,3,2024-12-14 11:54:41.376 +0800,2024-12-14 10:40:22.701 +0800,2024-12-14 12:50:36.470 +0800,2024-12-14 13:01:20.572 +0800
2279129,20,4.89,3.61,3,2024-12-14 11:52:13.034 +0800,2024-12-14 11:29:40.551 +0800,2024-12-14 11:52:14.134 +0800,2024-12-14 12:13:34.199 +0800
2279130,20,8.22,4.26,3,2024-12-14 10:35:08.993 +0800,2024-12-14 11:49:36.599 +0800,2024-12-14 12:28:40.499 +0800,2024-12-14 12:35:13.039 +0800
2279131,20,1.95,1.41,2,2024-12-14 14:40:56.872 +0800,2024-12-14 13:36:40.123 +0800,2024-12-14 14:51:38.644 +0800,2024-12-14 15:27:10.449 +0800
2279132,20,6.18,3.55,3,2024-12-14 13:31:20.217 +0800,2024-12-14 10:31:58.603 +0800,2024-12-14 13:31:21.330 +0800,2024-12-14 14:09:35.678 +0800
2279133,20,7.17,3.26,3,2024-12-14 11:55:44.431 +0800,2024-12-14 11:54:15.993 +0800,2024-12-14 11:55:45.255 +0800,2024-12-14 12:52:04.691 +0800
